Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,Description
Hayati Al Haramain Perfumesfor women and men,for women and men,4.21,136,"['musky', 'oud', 'powdery', 'woody', 'amber', 'rose', 'sweet', 'animalic']",['Christian Carbonnel'],"HayatibyAl Haramain Perfumesis a Amber Floral fragrance for women and men. The nose behind this fragrance is Christian Carbonnel. Top notes are Musk and Amber; middle notes are Musk, Rose and Sugar; base notes are Musk, Agarwood (Oud) and Woody Notes."
Junoon Al Haramain Perfumesfor women,for women,3.99,220,"['powdery', 'vanilla', 'iris', 'sweet']",['Christian Carbonnel'],"JunoonbyAl Haramain Perfumesis a Floral fragrance for women.Junoonwas launched in 2016. The nose behind this fragrance is Christian Carbonnel. Top notes are Powdery Notes, Rose, Ylang-Ylang and Jasmine; middle notes are Iris, Tonka Bean, Rose and Jasmine; base notes are Heliotrope, Vanilla and Musk."
Urbanist Homme Al Haramain Perfumesfor men,for men,3.84,19,"['aromatic', 'citrus', 'woody', 'fresh spicy', 'amber', 'powdery', 'musky', 'white floral', 'lavender', 'sweet']",['Christian Carbonnel'],"Urbanist HommebyAl Haramain Perfumesis a Amber Spicy fragrance for men. The nose behind this fragrance is Christian Carbonnel. Top notes are Petitgrain, Orange and Lemon; middle notes are Lavender, Rosemary and Jasmine; base notes are Amber, Musk, Sandalwood and Tonka Bean."
God Is A Woman Ariana Grandefor women,for women,3.89,"2,470","['fruity', 'sweet', 'powdery', 'vanilla', 'aquatic', 'musky', 'floral', 'fresh', 'iris', 'woody']",['Jérôme Epinette'],God Is A WomanbyAriana Grandeis a Amber Floral fragrance for women.God Is A Womanwas launched in 2021. The nose behind this fragrance is Jérôme Epinette. Top notes are Pear and Ambrette (Musk Mallow); middle notes are Orris and Turkish Rose; base notes are Madagascar Vanilla and Sandalwood.
R.E.M. Ariana Grandefor women,for women,3.91,"2,714","['sweet', 'lavender', 'powdery', 'caramel', 'fruity', 'salty', 'aromatic', 'musky', 'woody', 'floral']","['Clement Gavarry', 'Dora Baghriche']","R.E.M.byAriana Grandeis a Amber Vanilla fragrance for women.R.E.M.was launched in 2020. R.E.M. was created by Dora Baghriche and Clement Gavarry. Top notes are Zefir, Caramel, Salt, Fig and Quince; middle notes are Lavender and Pear Blossom; base notes are Musk, Tonka Bean and Sandalwood."
God Is A Woman Body Mist Ariana Grandefor women,for women,4,9,"['vanilla', 'fruity', 'sweet', 'powdery', 'floral', 'musky', 'woody', 'aquatic', 'iris', 'rose']",['Jérôme Epinette'],God Is A Woman Body MistbyAriana Grandeis a Amber Floral fragrance for women. The nose behind this fragrance is Jérôme Epinette. Top notes are Pear and Musk Mallow; middle notes are Turkish Rose and Orris; base notes are Madagascar Vanilla and Sandalwood.
"Thank U, Next Body Mist Ariana Grandefor women",for women,4.04,23,"['sweet', 'coconut', 'fruity', 'vanilla', 'almond', 'musky']",['Jérôme Epinette'],"Thank U, Next Body MistbyAriana Grandeis a Floral Fruity Gourmand fragrance for women. The nose behind this fragrance is Jérôme Epinette. Top notes are Raspberry and Pear; middle notes are Coconut and Pink Rose; base notes are Macarons and Musk."
Cloud Ariana Grandefor women,for women,3.99,"12,730","['sweet', 'lactonic', 'vanilla', 'coconut', 'musky']",['Clement Gavarry'],"CloudbyAriana Grandeis a Floral Fruity Gourmand fragrance for women.Cloudwas launched in 2018. The nose behind this fragrance is Clement Gavarry. Top notes are Lavender, Pear and Bergamot; middle notes are Whipped Cream, Coconut, Praline and Vanilla Orchid; base notes are Musk and Woody Notes."
Cloud Pink Ariana Grandefor women,for women,4.04,"1,043","['sweet', 'fruity', 'tropical', 'musky', 'floral', 'woody', 'lactonic', 'powdery', 'amber']",['Clement Gavarry'],"Cloud PinkbyAriana Grandeis a Amber Vanilla fragrance for women. This is a new fragrance.Cloud Pinkwas launched in 2023. The nose behind this fragrance is Clement Gavarry. Top notes are Pitahaya, Wild Berries and Pineapple; middle notes are Coconut Water, Vanilla Orchid and Ambrette; base notes are Praline, Musk, Amberwood and Moss."
Mod Blush Ariana Grandefor women,for women,3.82,806,"['fruity', 'sweet', 'musky', 'rose', 'floral', 'citrus', 'tropical', 'powdery', 'fresh', 'amber']",['Frank Voelkl'],"Mod BlushbyAriana Grandeis a fragrance for women. This is a new fragrance.Mod Blushwas launched in 2022. The nose behind this fragrance is Frank Voelkl. Top notes are Raspberry, Passionfruit, Pink Pepper and Bergamot; middle notes are Rose, Pear and Magnolia; base notes are Musk, Ambroxan, Dreamwood and Sandalwood."
"Thank U, Next Ariana Grandefor women",for women,3.66,"3,495","['sweet', 'coconut', 'fruity', 'vanilla', 'almond']",['Jérôme Epinette'],"Thank U, NextbyAriana Grandeis a Floral Fruity Gourmand fragrance for women.Thank U, Nextwas launched in 2019. The nose behind this fragrance is Jérôme Epinette. Top notes are Raspberry and Pear; middle notes are Coconut and Pink Rose; base notes are Macarons and Musk."
Club de Nuit Oud Armaffor women and men,for women and men,3.67,124,"['fruity', 'sweet', 'musky', 'woody', 'white floral', 'amber', 'powdery', 'fresh', 'animalic', 'tropical']",['Christian Provenzano'],"Club de Nuit OudbyArmafis a fragrance for women and men. This is a new fragrance.Club de Nuit Oudwas launched in 2023. The nose behind this fragrance is Christian Provenzano. Top notes are Peach, Pear, Passionfruit, Pineapple, Plum and Bergamot; middle notes are Jasmine, Cashmere Wood, Freesia and Violet Leaves; base notes are Musk, Crystal Amber, Vanilla and Cambodian Oud."
Private Key To My Dreams Armaffor women and men,for women and men,3.84,49,"['fruity', 'fresh spicy', 'aromatic', 'sweet', 'warm spicy', 'vanilla', 'woody', 'fresh', 'lavender', 'leather']","['Ali Asgar Fakhruddin', 'Mathieu Nardin']","Private Key To My DreamsbyArmafis a fragrance for women and men. This is a new fragrance.Private Key To My Dreamswas launched in 2023. Private Key To My Dreams was created by Mathieu Nardin and Ali Asgar Fakhruddin. Top notes are Pineapple Leaf, Black Pepper, Pink Pepper and Cardamom; middle notes are Apple, Lavender, Bourbon Geranium and Orange Blossom; base notes are Vanilla Absolute, Leather, Patchouli, Vetiver and Cedarwood."
Private Key To My Life Armaffor women and men,for women and men,4,39,"['citrus', 'fresh spicy', 'white floral', 'floral', 'sweet', 'rose', 'fruity']","['Ali Asgar Fakhruddin', 'Arturetto Landi']","Private Key To My LifebyArmafis a fragrance for women and men. This is a new fragrance.Private Key To My Lifewas launched in 2023. Private Key To My Life was created by Arturetto Landi and Ali Asgar Fakhruddin. Top notes are Pink Pepper, Grapefruit, Melon, Lime, Tangerine, Orange, Black Pepper, Bergamot, Lemon, Plum and Pineapple; middle notes are Rose, Lily of the Valley, White Flowers, Jasmine, Freesia, Magnolia and Geranium; base notes are White Musk, Woodsy Notes, Leather, Amber and Patchouli."
Private Key To My Love Armaffor women and men,for women and men,3.68,22,"['fruity', 'woody', 'sweet', 'fresh', 'tropical', 'powdery', 'warm spicy', 'green']",['Ali Asgar Fakhruddin'],"Private Key To My LovebyArmafis a fragrance for women and men. This is a new fragrance.Private Key To My Lovewas launched in 2023. The nose behind this fragrance is Ali Asgar Fakhruddin. Top notes are Passionfruit, Peach, Pear and Cassis; middle notes are White Wood, Amberwood and Lily of the Valley; base notes are Musk, Sandalwood, Vanilla and Patchouli."
Private Key To My Soul Armaffor women and men,for women and men,4.14,7,"['aromatic', 'citrus', 'lavender', 'herbal', 'soft spicy', 'fresh spicy', 'vanilla']",['Alex Lee'],Private Key To My SoulbyArmafis a fragrance for women and men. This is a new fragrance.Private Key To My Soulwas launched in 2024. The nose behind this fragrance is Alex Lee. Top notes are Mandarin Orange and Grapefruit; middle notes are Lavender and Sage; base note is Vanilla.
Absolute by Exclusive Avonfor men,for men,4.45,285,"['oud', 'amber', 'woody', 'warm spicy', 'fresh spicy', 'aromatic', 'smoky', 'patchouli', 'balsamic', 'citrus']","['Marion Costero', 'Stephen Nilsen']","Absolute by ExclusivebyAvonis a Woody Aromatic fragrance for men.Absolute by Exclusivewas launched in 2020. Absolute by Exclusive was created by Marion Costero and Stephen Nilsen. Top notes are Sicilian Lemon, Lavender and African Geranium; middle notes are Agarwood (Oud), Texas Cedar, Incense and Safraleine; base notes are Amber, Indonesian Patchouli Leaf and Ambreine."
Alpha Avonfor men,for men,3.9,143,"['fresh spicy', 'woody', 'aromatic', 'warm spicy', 'citrus', 'amber']","['Adilson Rato', 'Frank Voelkl']","AlphabyAvonis a Woody fragrance for men.Alphawas launched in 2013. Alpha was created by Frank Vöelkl and Adilson Rato. Top notes are Sicilian Bergamot, Juniper Berries and Verbena; middle notes are Cardamon, Nutmeg and Basil; base notes are Brandy, Cedar and Olibanum."
Alpha Avonfor women,for women,3.61,343,"['fruity', 'woody', 'sweet', 'citrus', 'floral', 'white floral', 'tropical']","['Adilson Rato', 'Frank Voelkl']","AlphabyAvonis a Floral Fruity fragrance for women.Alphawas launched in 2015. Alpha was created by Frank Vöelkl and Adilson Rato. Top notes are Raspberry, Blood Orange and Litchi; middle notes are Floral Notes and Honeysuckle; base notes are Woody Notes and Cashmeran."
Avon Sensuelle Avonfor women,for women,3.73,794,"['white floral', 'floral', 'woody', 'lactonic', 'powdery', 'citrus', 'musky', 'vanilla', 'amber', 'sweet']","['Harry Fremont', 'Olivier Cresp']","Avon SensuellebyAvonis a Amber Floral fragrance for women.Avon Sensuellewas launched in 2013. Avon Sensuelle was created by Olivier Cresp and Harry Fremont. Top notes are Orange Blossom, Bergamot and Mandarin Orange; middle notes are Tahitian Gardenia, Heliotrope and Water Lily; base notes are Cashmere Wood and Vanilla Orchid."
Avon V For Victory Avonfor men,for men,3.79,47,"['woody', 'patchouli', 'warm spicy', 'aromatic', 'citrus', 'fresh spicy']","['Carlos Viñals', 'Nathalie Benareau']","Avon V For VictorybyAvonis a Woody fragrance for men.Avon V For Victorywas launched in 2018. Avon V For Victory was created by Carlos Viñals and Nathalie Benareau. Top notes are Tangerine, Juniper Berries and Apple; middle notes are Cedar Needles, Cardamom and Nutmeg; base notes are Patchouli, Birch and Vanilla."
Barbie Loves Fashion Avonfor women,for women,4,1,"['fruity', 'rose', 'vanilla', 'sweet', 'floral', 'powdery']",['Givaudan'],Barbie Loves FashionbyAvonis a Floral Fruity fragrance for women.Barbie Loves Fashionwas launched in 2011. The nose behind this fragrance is Givaudan. Top note is Strawberry; middle note is Rose; base note is Vanilla.
Bond Girl 007 Avonfor women,for women,3.84,879,"['white floral', 'musky', 'floral', 'powdery', 'sweet', 'fruity', 'amber', 'woody', 'patchouli', 'citrus']",['Olivier Cresp'],"Bond Girl 007byAvonis a Floral Woody Musk fragrance for women.Bond Girl 007was launched in 2008. The nose behind this fragrance is Olivier Cresp. Top notes are Peach, Orange Blossom and Ambrette (Musk Mallow); middle notes are Jasmine, Freesia and Orchid; base notes are Musk, Patchouli, Amber and Cashmeran."
Burning Hot Avonfor men,for men,3.08,12,"['amber', 'woody', 'aromatic', 'lavender', 'musky', 'ozonic', 'warm spicy', 'aquatic', 'green', 'balsamic']",['Maurice Roucel'],"Burning HotbyAvonis a Aromatic Spicy fragrance for men.Burning Hotwas launched in 2013. The nose behind this fragrance is Maurice Roucel. Top notes are Lavender and Green Notes; middle notes are Violet Leaf, Cardamom and Pine; base notes are Labdanum, White Cedar Extract and Musk."
Casbah Avonfor women,for women,4.32,191,"['powdery', 'woody', 'warm spicy', 'floral', 'iris', 'fresh spicy', 'musky', 'white floral', 'violet', 'rose']",['Jean-Pierre Subrenat'],"CasbahbyAvonis a Amber Floral fragrance for women.Casbahwas launched in 1992. The nose behind this fragrance is Jean-Pierre Subrenat. Top notes are Jasmine, Bergamot and Grapefruit; middle notes are Iris, Nutmeg, Clove, Orchid and Rose; base notes are Sandalwood and Musk."
Crystal Aura Avonfor women,for women,3.59,610,"['fruity', 'floral', 'musky', 'tropical', 'rose', 'woody', 'fresh', 'powdery']",['Bruno Jovanovic'],Crystal AurabyAvonis a Floral Woody Musk fragrance for women.Crystal Aurawas launched in 2006. The nose behind this fragrance is Bruno Jovanovic. Top notes are Carambola (Star Fruit) and Aldehydes; middle notes are Osmanthus and Rose; base notes are Musk and Orangewood.
Dreamlife Avonfor women,for women,3.72,432,"['powdery', 'woody', 'floral', 'iris', 'yellow floral', 'amber', 'warm spicy', 'earthy', 'patchouli', 'rose']",['Calice Becker'],"DreamlifebyAvonis a Woody Floral Musk fragrance for women.Dreamlifewas launched in 2002. The nose behind this fragrance is Calice Becker. Top notes are Rose and Chinese Apricot; middle notes are White Iris, Moroccan Mimosa and Freesia; base notes are Sandalwood, Amber and Patchouli."
Eternal Magic Avonfor women,for women,3.54,"1,083","['powdery', 'iris', 'vanilla', 'violet', 'woody', 'floral', 'rose', 'earthy', 'citrus', 'soft spicy']",['Ellen Molner'],"Eternal MagicbyAvonis a Floral fragrance for women.Eternal Magicwas launched in 2010. The nose behind this fragrance is Ellen Molner. Top notes are Violet, Pink Pepper and Bergamot; middle notes are Iris, Rose and Magnolia; base notes are Vanilla and Woody Notes."
Extraordinary Avonfor women,for women,3.97,"1,017","['warm spicy', 'sweet', 'chocolate', 'fresh spicy', 'woody', 'citrus', 'powdery', 'vanilla', 'floral', 'patchouli']",['Harry Fremont'],"ExtraordinarybyAvonis a Amber Floral fragrance for women.Extraordinarywas launched in 2005. The nose behind this fragrance is Harry Fremont. Top notes are Pepper, Tangerine, Raspberry and Grapefruit; middle notes are Dark Chocolate, Ginger, Orchid, Magnolia and Lotus; base notes are Vanilla, Patchouli, Sandalwood and Musk."
Facets Avonfor women,for women,4.14,81,"['white floral', 'amber', 'woody', 'powdery', 'tuberose', 'musky', 'violet', 'mossy', 'balsamic', 'smoky']",['Ann Gottlieb'],FacetsbyAvonis a Chypre Floral fragrance for women.Facetswas launched in 1988. The nose behind this fragrance is Ann Gottlieb.
Flor Alegria Avonfor women,for women,3.91,43,"['iris', 'tropical', 'fruity', 'sweet', 'powdery', 'fresh', 'violet', 'rose', 'earthy', 'floral']",['Rodrigo Flores-Roux'],Flor AlegriabyAvonis a Floral Fruity fragrance for women.Flor Alegriawas launched in 2014. The nose behind this fragrance is Rodrigo Flores-Roux. Top note is Passionfruit; middle note is Bulgarian Rose; base note is Iris.
Forest Lily Avonfor women,for women,4.23,52,"['floral', 'fresh', 'woody', 'white floral', 'yellow floral', 'sweet', 'green', 'citrus', 'powdery']",['Annie Buzantian'],Forest LilybyAvonis a Floral fragrance for women.Forest Lilywas launched in 1998. The nose behind this fragrance is Annie Buzantian.
Golaço Avonfor men,for men,3.56,16,"['marine', 'fruity', 'aquatic', 'aromatic', 'woody', 'fresh', 'citrus', 'musky', 'ozonic']",['Carmita Magalhães'],"GolaçobyAvonis a Woody Aromatic fragrance for men.Golaçowas launched in 2014. The nose behind this fragrance is Carmita Magalhães. Top notes are Red Algae, Sea water, Seaweed, Sicilian Lemon, Mastic or Lentisque and Pink Pepper; middle notes are Melon, Guarana, Red Apple and Granny Smith apple; base notes are Driftwood, Natural Musk, Amber and Woody Notes."
Ice Sheers Delicious Avonfor women,for women,3.55,168,"['fruity', 'green', 'citrus', 'fresh spicy', 'sweet', 'aromatic', 'fresh', 'musky']",['Sonia Constant'],"Ice Sheers DeliciousbyAvonis a Aromatic Fruity fragrance for women.Ice Sheers Deliciouswas launched in 2010. The nose behind this fragrance is Sonia Constant. Top notes are Blackberry and Grapefruit; middle notes are Mojito, Mint and Black Pepper; base notes are Musk and Sandalwood."
In Bloom by Reese Witherspoon Avonfor women,for women,3.96,"1,031","['white floral', 'green', 'floral', 'fruity', 'lactonic', 'powdery', 'sweet']",['Reese Witherspoon'],"In Bloom by Reese WitherspoonbyAvonis a Floral Green fragrance for women.In Bloom by Reese Witherspoonwas launched in 2009. The nose behind this fragrance is Reese Witherspoon. Top notes are Peach, White Tea and Green Notes; middle notes are Gardenia, Jasmine, Magnolia and Mimosa; base notes are Cashmere Wood, Poplar (Populus) buds and Amber."
Individual Blue Casual Avonfor men,for men,3.68,19,"['aromatic', 'fresh spicy', 'warm spicy', 'rose', 'woody', 'herbal', 'earthy']",['Olivier Cresp'],Individual Blue CasualbyAvonis a Woody Aromatic fragrance for men.Individual Blue Casualwas launched in 2014. The nose behind this fragrance is Olivier Cresp. Top note is Ginger; middle note is Geranium; base note is Vetiver.
Life Avonfor women,for women,4.14,7,"['citrus', 'woody', 'floral', 'white floral', 'fresh spicy', 'fruity', 'aromatic']",['Natalie Gracia-Cetto'],"LifebyAvonis a Floral Green fragrance for women.Lifewas launched in 2007. The nose behind this fragrance is Natalie Gracia-Cetto. Top notes are Bergamot, Lime, Mandarin Blossom, Apple Blossom and Carambola (Star Fruit); middle notes are Calla Lily, Damask Rose, Freesia, Sandalwood Flower and Mimosa; base notes are Precious Woods, Amber, Natural Musk, White Cedar Extract and Sandalwood."
Life Avonfor men,for men,4.25,4,"['aromatic', 'green', 'woody', 'fresh spicy', 'fresh', 'musky', 'ozonic', 'lavender', 'amber', 'herbal']",['Ilias Ermenidis'],"LifebyAvonis a Aromatic Fougere fragrance for men.Lifewas launched in 2007. The nose behind this fragrance is Ilias Ermenidis. Top notes are Mountain Air, Basil, Clary Sage and Yuzu; middle notes are Green Pepper, Lavender Extract, Driftwood and Cardamom; base notes are Musk, Amberwood, Cedar, Cashmere Wood and Patchouli."
Live Out Loud Avonfor women,for women,4.03,30,"['sweet', 'fruity', 'yellow floral', 'powdery', 'vanilla', 'floral']","['Alexis Grugeon', 'Honorine Blanc']",Live Out LoudbyAvonis a Floral Fruity fragrance for women.Live Out Loudwas launched in 2019. Live Out Loud was created by Honorine Blanc and Alexis Grugeon. Top note is Strawberry; middle note is Mimosa; base note is Vanilla.
Lucky Me Intense Avonfor men,for men,3.55,29,"['fresh spicy', 'citrus', 'warm spicy', 'amber', 'woody', 'aromatic', 'fruity', 'herbal', 'earthy']","['Carlos Viñals', 'Nathalie Benareau']","Lucky Me IntensebyAvonis a Woody Aromatic fragrance for men.Lucky Me Intensewas launched in 2020. Lucky Me Intense was created by Nathalie Benareau and Carlos Viñals. Top notes are Sichuan Pepper, Mandarin Orange and Apple; middle notes are Cinnamon Leaf, Nutmeg and Rosemary; base notes are Vetiver, Amber and Patchouli."
Lucky Me Intense Avonfor women,for women,3.87,180,"['vanilla', 'white floral', 'powdery', 'sweet', 'amber', 'woody', 'fruity', 'citrus', 'Champagne', 'floral']","['Marion Costero', 'Stephen Nilsen']","Lucky Me IntensebyAvonis a Amber Floral fragrance for women.Lucky Me Intensewas launched in 2020. Lucky Me Intense was created by Stephen Nilsen and Marion Costero. Top notes are Champagne, White Currant and Italian Mandarin; middle notes are Jasmine, Vanilla Orchid and Gardenia; base notes are Vanilla, Amber and White Sandalwood."
Luminata Avonfor women,for women,3.57,520,"['fruity', 'floral', 'fresh', 'sweet', 'rose', 'woody', 'aquatic']",['Maurice Roucel'],LuminatabyAvonis a Floral Fruity fragrance for women.Luminatawas launched in 2016. The nose behind this fragrance is Maurice Roucel. Top notes are Raspberry and Pear; middle note is Peony; base note is Woody Notes.
Luminata Magnific Avonfor women,for women,4.25,72,"['floral', 'white floral', 'musky', 'fresh', 'powdery', 'woody', 'tuberose', 'rose', 'citrus', 'fruity']","['Annie Buzantian', 'Honorine Blanc']","Luminata MagnificbyAvonis a Floral Woody Musk fragrance for women.Luminata Magnificwas launched in 2019. Luminata Magnific was created by Honorine Blanc and Annie Buzantian. Top notes are Pear, Peony and Bergamot; middle notes are Freesia, Tuberose, Jasmine, Lily-of-the-Valley and Rose; base notes are Musk, Cashmeran and Sandalwood."
Maxime Avonfor men,for men,3.87,99,"['woody', 'warm spicy', 'fruity', 'fresh spicy', 'sweet', 'salty', 'aromatic', 'amber', 'tropical', 'citrus']","['Clement Gavarry', 'Pascal Gaurin']","MaximebyAvonis a Amber Woody fragrance for men.Maximewas launched in 2019. Maxime was created by Pascal Gaurin and Clement Gavarry. Top notes are Pineapple, Mandarin Leaf and Nutmeg; middle notes are Precious Woods, Sea Salt and Cardamom; base notes are Olibanum, Cinnamon and Leather."
Midnight Avonfor men,for men,4.12,48,"['warm spicy', 'woody', 'amber', 'aromatic', 'powdery', 'musky']","['Stephen Nilsen', 'Yann Vasnier']","MidnightbyAvonis a Woody Spicy fragrance for men.Midnightwas launched in 2007. Midnight was created by Stephen Nilsen and Yann Vasnier. Top notes are Cardamom, Ginger and Coriander; middle notes are Sandalwood, Guaiac Wood, Vetiver and Cedar; base notes are Amber, Benzoin, Labdanum and Musk."
Midnight Avonfor women,for women,4.36,36,"['woody', 'white floral', 'warm spicy', 'vanilla', 'patchouli', 'amber', 'floral', 'powdery', 'fruity', 'citrus']",['Honorine Blanc'],"MidnightbyAvonis a Amber Vanilla fragrance for women.Midnightwas launched in 2007. The nose behind this fragrance is Honorine Blanc. Top notes are Ginger, Guava and Mandarin Orange; middle notes are Jasmine, Orchid and Lily; base notes are Woody Notes, Vanilla, Patchouli and Amber."
Open Road (Prospect) Avonfor men,for men,4.31,29,"['aromatic', 'fresh spicy', 'warm spicy', 'herbal', 'woody', 'patchouli', 'musky', 'balsamic', 'fresh', 'green']",['Ilias Ermenidis'],"Open Road (Prospect)byAvonis a fragrance for men.Open Road (Prospect)was launched during the 2000's. The nose behind this fragrance is Ilias Ermenidis. Top notes are Ginger, Mate and Celery; middle notes are Nutmeg, Geranium and Artemisia; base notes are Patchouli, Musk and Coumarin."
Our Story For Him Avonfor men,for men,3.57,23,"['amber', 'citrus', 'aromatic', 'woody', 'earthy', 'green']",['Olivier Cresp'],Our Story For HimbyAvonis a Woody Aromatic fragrance for men.Our Story For Himwas launched in 2014. The nose behind this fragrance is Olivier Cresp.
Perle Noire Avonfor women,for women,4.33,104,"['warm spicy', 'floral', 'rose', 'amber', 'woody']",['Jean-Pierre Subrenat'],Perle NoirebyAvonis a Amber Floral fragrance for women.Perle Noirewas launched in 1993. The nose behind this fragrance is Jean-Pierre Subrenat.
Premiere Luxe Oud Avonfor men,for men,4.01,344,"['woody', 'fresh spicy', 'warm spicy', 'oud', 'amber', 'powdery', 'patchouli']",['Yves Cassar'],"Premiere Luxe OudbyAvonis a Amber Woody fragrance for men.Premiere Luxe Oudwas launched in 2016. The nose behind this fragrance is Yves Cassar. Top notes are Black Pepper, Ginger and Lavender; middle notes are Agarwood (Oud), Guaiac Wood and Patchouli; base notes are Amber, Sandalwood and Musk."
Reve Voile Avonfor women,for women,3.73,11,"['woody', 'white floral', 'warm spicy', 'citrus', 'powdery', 'floral', 'rose']",['Jean-Pierre Subrenat'],Reve VoilebyAvonis a fragrance for women.Reve Voilewas launched in 1993. The nose behind this fragrance is Jean-Pierre Subrenat.
Scent Trend Avonfor women,for women,4.05,19,"['aquatic', 'ozonic', 'fresh', 'green', 'tropical']",['Steve DeMercado'],"Scent TrendbyAvonis a fragrance for women.Scent Trendwas launched in 1998. The nose behind this fragrance is Steve DeMercado. Top notes are Cucumber, Melon and Green Notes; middle notes are Watery Notes, Papaya, Lily-of-the-Valley and Floral Notes; base notes are Musk and Woody Notes."
Signature Avonfor men,for men,3.85,387,"['woody', 'warm spicy', 'fruity', 'citrus', 'fresh', 'patchouli', 'green']",['Christian Truc'],"SignaturebyAvonis a Woody Aromatic fragrance for men.Signaturewas launched in 2008. The nose behind this fragrance is Christian Truc. Top notes are Green Apple and Grapefruit; middle notes are Ginger and Bamboo; base notes are Cedar, Teak Wood and Patchouli."
Simply Her Avonfor women,for women,3.37,130,"['white floral', 'citrus', 'woody', 'soft spicy', 'sweet']",['Bernard Ellena'],Simply HerbyAvonis a Floral Fruity fragrance for women.Simply Herwas launched in 2013. The nose behind this fragrance is Bernard Ellena. Top note is Orange; middle note is Lily; base note is Cedar.
Slip Into Avonfor women,for women,3.53,524,"['violet', 'powdery', 'floral', 'fruity', 'sweet', 'woody', 'ozonic', 'aquatic', 'musky']",['IFF'],"Slip IntobyAvonis a Amber Floral fragrance for women.Slip Intowas launched in 2011. The nose behind this fragrance is IFF. Top notes are Blackberry, Violet Leaf and Freesia; middle notes are Violet, Orchid and Brazilian Rosewood; base notes are Cashmeran, Orris Root and Amber."
Soie Rouge Avonfor women,for women,4.34,147,"['woody', 'rose', 'fresh spicy', 'patchouli', 'musky', 'warm spicy', 'white floral', 'earthy', 'amber', 'yellow floral']",['Jean-Pierre Subrenat'],"Soie RougebyAvonis a Chypre Floral fragrance for women.Soie Rougewas launched in 1993. The nose behind this fragrance is Jean-Pierre Subrenat. Top notes are Pepper, Cashmere Wood and Orange; middle notes are Rose, Ylang-Ylang, Lily-of-the-Valley and Jasmine; base notes are Patchouli, Vetiver, Musk and Amber."
Spotlight Avonfor women,for women,3.75,635,"['citrus', 'floral', 'powdery', 'musky', 'woody', 'yellow floral', 'fresh spicy', 'green', 'aromatic', 'tuberose']",['Jean-Marc Chaillan'],"SpotlightbyAvonis a Floral Woody Musk fragrance for women.Spotlightwas launched in 2009. The nose behind this fragrance is Jean-Marc Chaillan. Top notes are Bergamot and Mandarin Orange; middle notes are Freesia, Mimosa and Tuberose; base notes are White Musk, Sandalwood, Cashmere Wood and Vanilla."
Surrender Avonfor women,for women,4.27,675,"['amber', 'woody', 'citrus', 'musky', 'patchouli', 'floral', 'balsamic', 'rose', 'warm spicy', 'powdery']",['Jean-Louis Grauby'],"SurrenderbyAvonis a Amber fragrance for women.Surrenderwas launched in 2004. The nose behind this fragrance is Jean-Louis Grauby. Top notes are Italian Mandarin, Sicilian Bergamot and Chinese Tea; middle notes are Cashmere Wood, Exotic floral notes and Damask Rose; base notes are Amber, Patchouli and Musk."
Tapage Avonfor women,for women,4.12,49,"['floral', 'powdery', 'sweet', 'white floral', 'woody', 'vanilla', 'fruity', 'musky', 'lactonic']",['Jean-Pierre Subrenat'],TapagebyAvonis a Floral Woody Musk fragrance for women.Tapagewas launched in 1993. The nose behind this fragrance is Jean-Pierre Subrenat.
Today Tomorrow Always Wonder Avonfor women,for women,3.75,129,"['citrus', 'floral', 'woody', 'powdery', 'rose', 'musky', 'fresh', 'fresh spicy', 'lactonic', 'white floral']",['Guillaume Flavigny'],"Today Tomorrow Always WonderbyAvonis a Floral Woody Musk fragrance for women. This is a new fragrance.Today Tomorrow Always Wonderwas launched in 2023. The nose behind this fragrance is Guillaume Flavigny. Top notes are Bitter Orange, Bergamot and Violet Leaf; middle notes are Camellia, Neroli and Rose; base notes are Cedarwood, Musk and Oak."
Unscripted Avonfor men,for men,3.81,125,"['woody', 'aromatic', 'warm spicy', 'fresh spicy', 'earthy', 'fruity', 'sweet', 'lavender', 'anis', 'musky']","['Pascal Gaurin', 'Yves Cassar']","UnscriptedbyAvonis a Woody Aromatic fragrance for men.Unscriptedwas launched in 2008. Unscripted was created by Yves Cassar and Pascal Gaurin. Top notes are Black Pepper, Cardamom and Anise; middle notes are Fig, Lavender and Violet; base notes are Vetiver, Patchouli and Cedar."
Velvet Avonfor women,for women,4.04,136,"['fruity', 'woody', 'rose', 'warm spicy', 'patchouli', 'sweet', 'powdery', 'musky', 'floral', 'earthy']",['Gabriela Chelariu'],"VelvetbyAvonis a Chypre Floral fragrance for women.Velvetwas launched in 2018. The nose behind this fragrance is Gabriela Chelariu. Top notes are Fig, Pomegranate and Raspberry; middle notes are Bulgarian Rose, Heliotrope and Lily; base notes are Patchouli, Saffron and Musk."
Viva by Fergie Avonfor women,for women,3.25,537,"['green', 'aromatic', 'lavender', 'woody', 'fresh spicy', 'citrus', 'earthy', 'musky']",['Laurent Le Guernec'],"Viva by FergiebyAvonis a Floral Green fragrance for women.Viva by Fergiewas launched in 2012. The nose behind this fragrance is Laurent Le Guernec. Top notes are Green Notes and Bergamot; middle notes are Lavender, Mint and Narcissus; base notes are Vetiver, Woody Notes and White Musk."
