Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,Description
Eternity Summer 2008 Calvin Kleinfor women,for women,3.98,121,"['white floral', 'fresh', 'green', 'woody', 'citrus', 'fresh spicy', 'powdery', 'aromatic', 'musky', 'iris']","['Pascal Gaurin', 'Yves Cassar']","Eternity Summer 2008byCalvin Kleinis a Floral Green fragrance for women.Eternity Summer 2008was launched in 2008. Eternity Summer 2008 was created by Pascal Gaurin and Yves Cassar. Top notes are Bamboo, Basil and Mandarin Orange; middle notes are Lily-of-the-Valley, Jasmine and Neroli; base notes are Musk, Iris and Ginger."
Eternity Summer 2012 Calvin Kleinfor women,for women,3.79,121,"['floral', 'citrus', 'white floral', 'aromatic', 'fresh spicy', 'sweet', 'green', 'fresh', 'fruity', 'powdery']",['Pascal Gaurin'],"Eternity Summer 2012byCalvin Kleinis a Floral Fruity fragrance for women.Eternity Summer 2012was launched in 2012. The nose behind this fragrance is Pascal Gaurin. Top notes are Martini, Pear, Bergamot and African Orange Flower; middle notes are Hyacinth, Peony and Gardenia; base notes are Musk, Heliotrope and Tonka Bean."
Eternity Summer 2016 Calvin Kleinfor women,for women,4.12,115,"['floral', 'green', 'citrus', 'white floral', 'fresh', 'tropical', 'musky', 'woody', 'powdery', 'vanilla']",['Laurent Le Guernec'],"Eternity Summer 2016byCalvin Kleinis a Floral fragrance for women.Eternity Summer 2016was launched in 2016. The nose behind this fragrance is Laurent Le Guernec. Top notes are Palm Leaf, Pear Blossom and Bergamot; middle notes are Frangipani, Jasmine and Tuberose; base notes are Musk, White Woods and Vanilla."
Eternity Summer 2019 Calvin Kleinfor women,for women,3.71,129,"['floral', 'aquatic', 'ozonic', 'fresh', 'fruity', 'citrus', 'green', 'rose']",['Clement Gavarry'],"Eternity Summer 2019byCalvin Kleinis a Floral Fruity fragrance for women.Eternity Summer 2019was launched in 2019. The nose behind this fragrance is Clement Gavarry. Top notes are Watermelon, Mandarin Orange and Pear; middle notes are Water Lily, Hyacinth and Peony; base notes are Musk, White Amber and Sandalwood."
Deep Euphoria Calvin Kleinfor women,for women,3.61,"1,285","['rose', 'woody', 'fresh spicy', 'patchouli', 'warm spicy', 'floral', 'fresh', 'musky', 'aquatic', 'aromatic']","['Ann Gottlieb', 'Honorine Blanc']","Deep EuphoriabyCalvin Kleinis a Chypre Floral fragrance for women.Deep Euphoriawas launched in 2016. Deep Euphoria was created by Honorine Blanc and Ann Gottlieb. Top notes are White Pepper, Cascalone and Mandarin Leaf; middle notes are Black Rose, Peony, Geranium and Jasmine Sambac; base notes are Patchouli, Woody Notes and Musk."
Deep Euphoria Eau de Toilette Calvin Kleinfor women,for women,3.62,193,"['floral', 'rose', 'woody', 'aquatic', 'fresh', 'fruity', 'musky', 'sweet', 'powdery']",['Honorine Blanc'],Deep Euphoria Eau de ToilettebyCalvin Kleinis a Chypre Floral fragrance for women.Deep Euphoria Eau de Toilettewas launched in 2017. The nose behind this fragrance is Honorine Blanc. Top notes are Water Lily and Pear; middle note is Black Rose; base notes are Woody Notes and Musk.
Endless Euphoria Calvin Kleinfor women,for women,3.7,"1,425","['floral', 'citrus', 'woody', 'powdery', 'rose', 'fresh', 'violet', 'fruity', 'musky', 'white floral']",['Bruno Jovanovic'],"Endless EuphoriabyCalvin Kleinis a Floral Fruity fragrance for women.Endless Euphoriawas launched in 2014. The nose behind this fragrance is Bruno Jovanovic. Top notes are Cherry Blossom, Mandarin Orange and Bergamot; middle notes are Rose, Violet and Syringa; base notes are Bamboo, Musk and Sandalwood."
Euphoria Amber Gold Calvin Kleinfor women,for women,3.94,361,"['amber', 'sweet', 'honey', 'powdery', 'woody', 'fruity', 'citrus', 'vanilla', 'white floral', 'floral']",['Pascal Gaurin'],"Euphoria Amber GoldbyCalvin Kleinis a Amber fragrance for women.Euphoria Amber Goldwas launched in 2018. The nose behind this fragrance is Pascal Gaurin. Top notes are Plum, Mandarin Orange and Rose; middle notes are Honey, Orange Blossom and Orris; base notes are Amber, Sandalwood, Vanilla and Labdanum."
Euphoria Amber Gold Men Calvin Kleinfor men,for men,4.54,389,"['amber', 'aromatic', 'honey', 'woody', 'smoky', 'fresh spicy', 'animalic', 'leather', 'sweet', 'herbal']",['Laurent Le Guernec'],"Euphoria Amber Gold MenbyCalvin Kleinis a Amber Woody fragrance for men.Euphoria Amber Gold Menwas launched in 2018. The nose behind this fragrance is Laurent Le Guernec. Top notes are Cypress, Thyme and Bergamot; middle notes are Honey, Sage, Jasmine and Oregano; base notes are Amber, Incense, Leather and Vetiver."
Euphoria Blossom Calvin Kleinfor women,for women,3.87,"2,540","['floral', 'woody', 'fresh', 'sweet', 'citrus', 'powdery', 'musky', 'rose', 'fruity']","['Carlos Benaim', 'Loc Dong']","Euphoria BlossombyCalvin Kleinis a Amber Floral fragrance for women.Euphoria Blossomwas launched in 2006. Euphoria Blossom was created by Carlos Benaim and Loc Dong. Top notes are Pomegranate and Kumquat; middle notes are Pink Peony, Orchid and Lotus; base notes are Musk, White Woods and White Amber."
